losses, rewards
0.039370, -19.900000
0.029014, -20.800000
0.021875, -20.400000
0.017805, -20.100000
0.015258, -19.300000
0.013524, -18.900000
0.012269, -19.400000
0.011299, -18.500000
0.010531, -17.800000
0.009916, -17.200000
0.009416, -16.900000
0.009010, -17.800000
0.008663, -17.700000
0.008366, -17.700000
0.008108, -18.100000
0.007880, -17.900000
0.007675, -17.500000
0.007491, -16.000000
0.007326, -15.800000
0.007170, -16.500000
0.007029, -15.900000
0.006899, -16.800000
0.006776, -15.800000
0.006661, -13.900000
0.006554, -14.300000
0.006452, -16.400000
0.006359, -15.800000
0.006270, -13.600000
0.006189, -13.100000
0.006111, -14.300000
0.006038, -14.000000
0.005964, -13.600000
0.005893, -13.200000
0.005825, -13.000000
0.005761, -13.300000
0.005698, -14.300000
0.005637, -12.500000
0.005576, -11.300000
0.005516, -10.000000
0.005458, -10.400000
0.005401, -10.400000
0.005347, -10.200000
0.005293, -10.400000
0.005241, -10.900000
0.005192, -11.500000
0.005143, -13.200000
0.005095, -13.000000
0.005051, -12.600000
0.005009, -11.200000
0.004967, -11.600000
0.004929, -12.700000
0.004890, -11.700000
0.004852, -10.600000
0.004816, -9.500000
0.004780, -9.300000
0.004743, -8.900000
0.004708, -8.700000
0.004672, -8.200000
0.004636, -8.100000
0.004601, -9.000000
0.004567, -8.200000
0.004532, -8.000000
0.004497, -7.700000
0.004463, -6.700000
0.004430, -6.700000
0.004397, -6.800000
0.004365, -5.400000
0.004333, -5.000000
0.004303, -2.900000
0.004272, -1.700000
0.004243, -0.500000
0.004214, -1.900000
0.004186, -1.700000
0.004159, -3.600000
0.004132, -3.700000
0.004107, -3.600000
0.004081, -2.400000
0.004055, -1.700000
0.004031, -1.400000
0.004007, 0.700000
0.003983, -0.700000
0.003959, 0.600000
0.003936, -0.100000
0.003912, 1.400000
0.003889, 3.000000
0.003866, 4.100000
0.003844, 3.300000
0.003822, 2.900000
0.003800, 4.600000
0.003779, 4.200000
0.003759, 4.000000
0.003739, 2.700000
0.003719, 4.500000
0.003699, 6.000000
0.003680, 7.400000
0.003661, 7.200000
0.003643, 6.100000
0.003625, 7.200000
0.003607, 7.000000
0.003590, 6.200000
0.003572, 6.500000
0.003554, 9.600000
0.003536, 12.900000
0.003517, 13.500000
0.003498, 13.800000
0.003479, 13.700000
0.003460, 14.200000
0.003441, 15.300000
0.003421, 15.900000
0.003402, 15.500000
0.003382, 14.900000
0.003364, 14.500000
0.003345, 12.700000
0.003327, 15.000000
0.003309, 15.900000
0.003290, 14.800000
0.003272, 13.300000
0.003254, 15.700000
0.003236, 15.800000
0.003219, 15.800000
0.003201, 15.500000
0.003183, 17.000000
0.003165, 17.200000
0.003147, 16.500000
0.003128, 18.700000
0.003110, 17.600000
0.003092, 17.000000
0.003074, 18.100000
0.003056, 18.700000
0.003038, 17.800000
0.003021, 16.600000
0.003004, 17.300000
0.002987, 16.700000
0.002970, 17.000000
0.002952, 18.900000
0.002935, 18.900000
0.002918, 18.100000
0.002902, 17.900000
0.002886, 18.200000
0.002870, 18.400000
0.002853, 19.900000
0.002837, 19.400000
0.002821, 17.500000
0.002806, 17.700000
0.002790, 18.400000
0.002775, 19.300000
0.002759, 19.400000
0.002743, 19.400000
0.002728, 19.900000
0.002712, 19.500000
0.002698, 17.400000
0.002683, 17.700000
0.002669, 19.800000
0.002654, 20.500000
0.002640, 20.100000
0.002626, 19.100000
0.002611, 19.600000
0.002597, 19.700000
0.002584, 19.600000
0.002570, 19.900000
0.002556, 20.100000
0.002542, 19.000000
0.002529, 19.900000
0.002515, 19.500000
0.002502, 19.200000
0.002489, 19.000000
0.002476, 19.500000
0.002463, 20.500000
0.002450, 19.500000
0.002437, 19.700000
0.002424, 20.300000
0.002411, 20.400000
0.002399, 20.000000
0.002387, 19.600000
0.002374, 19.700000
0.002362, 20.100000
0.002350, 20.000000
0.002338, 20.000000
0.002327, 20.200000
0.002315, 20.700000
0.002303, 20.500000
0.002292, 20.200000
0.002281, 19.800000
0.002269, 20.200000
0.002258, 19.900000
0.002247, 19.600000
0.002237, 19.800000
0.002226, 20.100000
0.002215, 19.100000
0.002205, 19.000000
0.002195, 19.800000
0.002185, 19.700000
0.002176, 19.600000
0.002166, 18.900000
0.002156, 19.200000
0.002147, 20.800000
0.002137, 20.600000
0.002127, 19.900000
0.002118, 19.900000
, 
